source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:236,Construction of Buildings,uc:Ac_10_40,Construction,semantically_similar,A,2,0.595
naics:23,Construction,uc:En_90_30_15,Construction sites,semantically_similar,A,2,0.587
naics:23832,Painting and Wall Covering Contractors,uc:Ss_25_45,Wall covering and finish systems,semantically_similar,A,2,0.585
naics:238320,Painting and Wall Covering Contractors,uc:Ss_25_45,Wall covering and finish systems,semantically_similar,A,2,0.585
naics:23833,Flooring Contractors,uc:Pr_35_31_06_77,Screed flooring,semantically_similar,A,2,0.584
naics:238330,Flooring Contractors,uc:Pr_35_31_06_77,Screed flooring,semantically_similar,A,2,0.584
naics:23816,Roofing Contractors,uc:Pr_20_29_88_74,Roofing straps,semantically_similar,A,2,0.569
naics:238160,Roofing Contractors,uc:Pr_20_29_88_74,Roofing straps,semantically_similar,A,2,0.569
naics:23816,Roofing Contractors,uc:Pr_20_29_88_71,Roofing clamps,semantically_similar,A,2,0.564
naics:238160,Roofing Contractors,uc:Pr_20_29_88_71,Roofing clamps,semantically_similar,A,2,0.564
naics:23833,Flooring Contractors,uc:Pr_35_31_06_55,Multilayer flooring,semantically_similar,A,2,0.563
naics:238330,Flooring Contractors,uc:Pr_35_31_06_55,Multilayer flooring,semantically_similar,A,2,0.563
naics:23814,Masonry Contractors,uc:Ss_15_30_50_50,Masonry repair systems,semantically_similar,A,2,0.557
naics:238140,Masonry Contractors,uc:Ss_15_30_50_50,Masonry repair systems,semantically_similar,A,2,0.557
naics:23816,Roofing Contractors,uc:Pr_20_29_88_70,Roofing belts,semantically_similar,A,2,0.555
naics:238160,Roofing Contractors,uc:Pr_20_29_88_70,Roofing belts,semantically_similar,A,2,0.555
naics:23814,Masonry Contractors,uc:Ss_20_30_75_50,Masonry column systems,semantically_similar,A,2,0.547
naics:238140,Masonry Contractors,uc:Ss_20_30_75_50,Masonry column systems,semantically_similar,A,2,0.547
naics:23621,Industrial Building Construction,uc:Co_30,Industrial complexes,semantically_similar,A,2,0.544
naics:236210,Industrial Building Construction,uc:Co_30,Industrial complexes,semantically_similar,A,2,0.544
naics:23815,Glass and Glazing Contractors,uc:Pr_20_29_14_34,Glass-to-glass clips,semantically_similar,A,2,0.54
naics:238150,Glass and Glazing Contractors,uc:Pr_20_29_14_34,Glass-to-glass clips,semantically_similar,A,2,0.54
naics:23621,Industrial Building Construction,uc:En_30,Industrial entities,semantically_similar,A,2,0.538
naics:236210,Industrial Building Construction,uc:En_30,Industrial entities,semantically_similar,A,2,0.538
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ac_10_40_67,Plumbing,semantically_similar,A,2,0.535
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ac_10_40_67,Plumbing,semantically_similar,A,2,0.535
naics:2361,Residential Building Construction,uc:Co_45,Residential complexes,semantically_similar,A,2,0.531
naics:23611,Residential Building Construction,uc:Co_45,Residential complexes,semantically_similar,A,2,0.531
naics:236118,Residential Remodelers,uc:Co_45_10_74,Residential properties,semantically_similar,A,2,0.53
naics:23816,Roofing Contractors,uc:Ss_30_40_95,Unit roofing systems,semantically_similar,A,2,0.53
naics:238160,Roofing Contractors,uc:Ss_30_40_95,Unit roofing systems,semantically_similar,A,2,0.53
naics:23,Construction,uc:Pr_30_31_76_16,Construction joint sealants,semantically_similar,A,2,0.527
naics:2361,Residential Building Construction,uc:Ac_45,Residential activities,semantically_similar,A,2,0.526
naics:23611,Residential Building Construction,uc:Ac_45,Residential activities,semantically_similar,A,2,0.526
naics:23621,Industrial Building Construction,uc:Ac_30,Industrial activities,semantically_similar,A,2,0.526
naics:236210,Industrial Building Construction,uc:Ac_30,Industrial activities,semantically_similar,A,2,0.526
naics:23811,Poured Concrete Foundation and Structure Contractors,uc:Ss_20_05_15,Concrete foundation systems,semantically_similar,A,2,0.526
naics:238110,Poured Concrete Foundation and Structure Contractors,uc:Ss_20_05_15,Concrete foundation systems,semantically_similar,A,2,0.526
naics:23833,Flooring Contractors,uc:Ss_30_42_54_75,Resin flooring systems,semantically_similar,A,2,0.522
naics:238330,Flooring Contractors,uc:Ss_30_42_54_75,Resin flooring systems,semantically_similar,A,2,0.522
naics:23833,Flooring Contractors,uc:Ss_30_42_54,Monolithic flooring systems,semantically_similar,A,2,0.518
naics:238330,Flooring Contractors,uc:Ss_30_42_54,Monolithic flooring systems,semantically_similar,A,2,0.518
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:En_65_80,Air conditioning entities,semantically_similar,A,2,0.511
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:En_65_80,Air conditioning entities,semantically_similar,A,2,0.511
naics:23833,Flooring Contractors,uc:Ss_30_20,Flooring and decking systems,semantically_similar,A,2,0.504
naics:238330,Flooring Contractors,uc:Ss_30_20,Flooring and decking systems,semantically_similar,A,2,0.504
naics:2361,Residential Building Construction,uc:En_45_10,Residential buildings,semantically_similar,A,2,0.503
naics:23611,Residential Building Construction,uc:En_45_10,Residential buildings,semantically_similar,A,2,0.503
naics:2361,Residential Building Construction,uc:En_45,Residential entities,semantically_similar,A,2,0.502
naics:23611,Residential Building Construction,uc:En_45,Residential entities,semantically_similar,A,2,0.502
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_70,Electrical systems,semantically_similar,A,2,0.498
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_70,Electrical systems,semantically_similar,A,2,0.498
naics:236118,Residential Remodelers,uc:Ac_45_70,Residential support activities,semantically_similar,A,2,0.496
naics:23621,Industrial Building Construction,uc:Co_30_50_41,Industrial parks,semantically_similar,A,2,0.492
naics:236210,Industrial Building Construction,uc:Co_30_50_41,Industrial parks,semantically_similar,A,2,0.492
naics:23835,Finish Carpentry Contractors,uc:Pr_35_31_64_32,Finish plasters,semantically_similar,A,2,0.491
naics:238350,Finish Carpentry Contractors,uc:Pr_35_31_64_32,Finish plasters,semantically_similar,A,2,0.491
naics:23,Construction,uc:Ac_10,"Preparation, construction and repair",semantically_similar,A,2,0.49
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Ac_70,Electrical activities,semantically_similar,A,2,0.49
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Ac_70,Electrical activities,semantically_similar,A,2,0.49
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ss_65_80,Air conditioning systems,semantically_similar,A,2,0.489
